id,flight_id,passenger_id,booking_date,fare_class,fare_amount,taxes,fees,total_amount,currency,payment_status,payment_method,booking_status,seat_number,special_requests
B00001,F00396,P00057,2025-06-21,Business,985,118,17,1120,USD,Failed,Debit Card,Pending,D20,Wheelchair assistance
B00002,F00355,P00080,2025-06-04,Business,832,99,38,969,USD,Failed,Credit Card,Pending,C29,Vegetarian meal
B00003,F00181,P00010,2025-06-13,First,1600,192,30,1822,USD,Pending,Bank Transfer,Pending,D6,Wheelchair assistance
B00004,F00422,P00086,2025-06-15,Economy,335,40,42,417,USD,Paid,PayPal,Confirmed,D30,Medical assistance
B00005,F00177,P00016,2025-04-27,Business,1520,182,38,1740,USD,Paid,Credit Card,Confirmed,A16,Medical assistance
B00006,F00264,P00098,2025-05-06,Economy,705,84,37,826,USD,Paid,Debit Card,Confirmed,F40,Vegetarian meal
B00007,F00115,P00023,2025-06-10,Economy,465,55,26,546,USD,Paid,Bank Transfer,Confirmed,A9,
B00008,F00258,P00035,2025-05-08,Economy,778,93,43,914,USD,Failed,Bank Transfer,Pending,A5,
B00009,F00271,P00034,2025-06-18,Premium Economy,825,99,27,951,USD,Failed,Credit Card,Pending,C34,
B00010,F00069,P00018,2025-06-20,Economy,412,49,40,501,USD,Paid,Credit Card,Confirmed,E12,
B00011,F00005,P00020,2025-05-28,Business,1532,183,21,1736,USD,Pending,Credit Card,Pending,A44,
B00012,F00277,P00100,2025-05-23,Premium Economy,532,63,42,637,USD,Paid,Credit Card,Confirmed,B31,Wheelchair assistance
B00013,F00404,P00079,2025-06-15,Premium Economy,1137,136,48,1321,USD,Paid,Credit Card,Confirmed,C37,
B00014,F00018,P00078,2025-06-15,Economy,686,82,47,815,USD,Paid,Credit Card,Confirmed,A13,Medical assistance
B00015,F00116,P00024,2025-05-21,Economy,320,38,43,401,USD,Paid,Debit Card,Confirmed,C14,
B00016,F00210,P00053,2025-06-01,Economy,823,98,49,970,USD,Paid,Bank Transfer,Cancelled,B38,Infant bassinet
B00017,F00498,P00071,2025-05-30,First,3364,403,25,3792,USD,Pending,PayPal,Pending,B35,
B00018,F00207,P00082,2025-06-08,Economy,391,46,47,484,USD,Paid,Credit Card,Confirmed,A40,Vegetarian meal
B00019,F00322,P00093,2025-05-03,Economy,793,95,32,920,USD,Failed,Debit Card,Pending,B14,Wheelchair assistance
B00020,F00452,P00021,2025-06-04,Premium Economy,1081,129,33,1243,USD,Paid,Bank Transfer,Confirmed,B11,
B00021,F00152,P00044,2025-04-30,Premium Economy,523,62,41,626,USD,Paid,Bank Transfer,Confirmed,A40,Extra legroom
B00022,F00042,P00074,2025-04-26,Premium Economy,1041,124,45,1210,USD,Pending,Bank Transfer,Pending,A13,
B00023,F00080,P00057,2025-06-19,Economy,590,70,25,685,USD,Pending,Credit Card,Pending,C43,
B00024,F00270,P00021,2025-05-18,Economy,417,50,23,490,USD,Paid,Credit Card,Confirmed,A3,
B00025,F00409,P00099,2025-05-05,Economy,564,67,16,647,USD,Paid,Debit Card,Confirmed,F30,Wheelchair assistance
B00026,F00119,P00022,2025-05-12,First,2176,261,43,2480,USD,Paid,Credit Card,Confirmed,C2,Infant bassinet
B00027,F00237,P00063,2025-05-15,First,2560,307,17,2884,USD,Paid,Credit Card,Cancelled,A6,Extra legroom
B00028,F00017,P00030,2025-06-14,Economy,509,61,19,589,USD,Paid,Credit Card,Confirmed,B23,
B00029,F00059,P00001,2025-06-30,First,2192,263,33,2488,USD,Paid,Debit Card,Confirmed,C50,Medical assistance
B00030,F00099,P00070,2025-05-02,First,2616,313,44,2973,USD,Failed,PayPal,Pending,C43,
B00031,F00323,P00075,2025-05-15,First,2628,315,33,2976,USD,Failed,Credit Card,Cancelled,B37,Wheelchair assistance
B00032,F00265,P00039,2025-05-17,Premium Economy,154,18,40,212,USD,Pending,Debit Card,Pending,A41,Infant bassinet
B00033,F00026,P00043,2025-05-31,Premium Economy,553,66,38,657,USD,Pending,Credit Card,Pending,D4,Infant bassinet
B00034,F00251,P00025,2025-05-17,Economy,741,88,22,851,USD,Pending,Credit Card,Pending,B14,Medical assistance
B00035,F00096,P00018,2025-06-05,Business,767,92,47,906,USD,Paid,Credit Card,Confirmed,D21,
B00036,F00477,P00072,2025-05-05,Economy,597,71,32,700,USD,Paid,Bank Transfer,Cancelled,D13,Extra legroom
B00037,F00287,P00004,2025-05-08,Economy,635,76,27,738,USD,Paid,Credit Card,Confirmed,D38,
B00038,F00174,P00097,2025-06-13,Economy,237,28,20,285,USD,Paid,Credit Card,Confirmed,E45,Wheelchair assistance
B00039,F00096,P00099,2025-06-10,Premium Economy,460,55,32,547,USD,Failed,Debit Card,Pending,C50,Medical assistance
B00040,F00050,P00068,2025-06-11,Business,1790,214,44,2048,USD,Pending,PayPal,Pending,A18,Wheelchair assistance
B00041,F00227,P00073,2025-05-01,Economy,519,62,17,598,USD,Paid,Credit Card,Confirmed,C20,Vegetarian meal
B00042,F00235,P00073,2025-05-25,Premium Economy,301,36,35,372,USD,Paid,Credit Card,Cancelled,B27,Wheelchair assistance
B00043,F00481,P00042,2025-05-02,Business,790,94,26,910,USD,Pending,Bank Transfer,Pending,E34,Medical assistance
B00044,F00127,P00067,2025-04-24,Business,902,108,50,1060,USD,Failed,PayPal,Pending,A47,
B00045,F00061,P00075,2025-06-10,Economy,797,95,31,923,USD,Paid,Credit Card,Confirmed,C30,Extra legroom
B00046,F00186,P00057,2025-05-31,Business,600,72,43,715,USD,Failed,Credit Card,Pending,E15,
B00047,F00023,P00099,2025-05-22,First,1724,206,42,1972,USD,Paid,Credit Card,Confirmed,E29,
B00048,F00280,P00055,2025-05-10,Economy,427,51,29,507,USD,Paid,Bank Transfer,Confirmed,D15,Extra legroom
B00049,F00377,P00096,2025-05-28,Premium Economy,1321,158,45,1524,USD,Failed,Debit Card,Pending,A46,
B00050,F00042,P00083,2025-05-05,Business,1735,208,19,1962,USD,Paid,Credit Card,Confirmed,E20,Medical assistance
B00051,F00429,P00041,2025-06-01,Premium Economy,909,109,48,1066,USD,Paid,PayPal,Confirmed,D8,Wheelchair assistance
B00052,F00328,P00057,2025-05-19,First,2580,309,24,2913,USD,Paid,PayPal,Confirmed,D18,
B00053,F00489,P00027,2025-05-30,Business,1580,189,27,1796,USD,Paid,PayPal,Confirmed,C22,Infant bassinet
B00054,F00481,P00049,2025-05-01,Business,790,94,38,922,USD,Paid,Credit Card,Confirmed,B32,Medical assistance
B00055,F00386,P00068,2025-07-05,First,2492,299,24,2815,USD,Failed,Bank Transfer,Pending,C32,Extra legroom
B00056,F00425,P00052,2025-07-01,Premium Economy,396,47,32,475,USD,Paid,Debit Card,Confirmed,D33,
B00057,F00369,P00047,2025-06-21,Premium Economy,1005,120,30,1155,USD,Paid,PayPal,Confirmed,F31,Vegetarian meal
B00058,F00424,P00084,2025-05-07,Business,1565,187,27,1779,USD,Paid,PayPal,Confirmed,B37,Infant bassinet
B00059,F00064,P00014,2025-06-26,Business,1722,206,31,1959,USD,Paid,PayPal,Confirmed,D24,
B00060,F00157,P00077,2025-06-13,First,2480,297,26,2803,USD,Failed,Credit Card,Cancelled,E32,Medical assistance
B00061,F00276,P00080,2025-05-30,Business,1987,238,47,2272,USD,Paid,Credit Card,Confirmed,E19,Extra legroom
B00062,F00078,P00059,2025-04-30,Economy,618,74,25,717,USD,Failed,Debit Card,Pending,C29,
B00063,F00413,P00095,2025-04-20,First,2228,267,19,2514,USD,Pending,PayPal,Pending,E48,Extra legroom
B00064,F00239,P00039,2025-06-26,Business,2180,261,37,2478,USD,Paid,Credit Card,Confirmed,E8,
B00065,F00358,P00070,2025-06-07,Premium Economy,925,111,25,1061,USD,Failed,Credit Card,Pending,C43,Infant bassinet
B00066,F00376,P00055,2025-05-03,Business,1665,199,29,1893,USD,Pending,PayPal,Pending,A10,Wheelchair assistance
B00067,F00119,P00024,2025-05-21,Economy,544,65,19,628,USD,Paid,Credit Card,Confirmed,D15,Vegetarian meal
B00068,F00120,P00055,2025-07-01,First,1988,238,44,2270,USD,Paid,Credit Card,Confirmed,B33,
B00069,F00279,P00010,2025-05-14,First,1468,176,22,1666,USD,Paid,PayPal,Confirmed,A3,Vegetarian meal
B00070,F00001,P00069,2025-05-28,Premium Economy,1062,127,46,1235,USD,Paid,Credit Card,Cancelled,F12,
B00071,F00300,P00022,2025-06-07,Premium Economy,1143,137,21,1301,USD,Paid,Credit Card,Confirmed,C43,
B00072,F00369,P00056,2025-05-15,Economy,670,80,22,772,USD,Failed,Debit Card,Pending,C17,Infant bassinet
B00073,F00432,P00043,2025-06-16,First,3080,369,23,3472,USD,Paid,Debit Card,Confirmed,A27,Vegetarian meal
B00074,F00031,P00024,2025-05-21,First,2920,350,19,3289,USD,Failed,Credit Card,Pending,A15,
B00075,F00042,P00058,2025-05-16,Premium Economy,1041,124,21,1186,USD,Paid,PayPal,Confirmed,F6,Medical assistance
B00076,F00164,P00053,2025-04-28,Premium Economy,793,95,42,930,USD,Failed,Debit Card,Cancelled,C22,Extra legroom
B00077,F00156,P00097,2025-06-26,Economy,748,89,48,885,USD,Failed,Credit Card,Pending,E23,
B00078,F00291,P00061,2025-06-21,Business,477,57,16,550,USD,Pending,Credit Card,Pending,B31,
