id,flight_number,airline_code,airline_name,origin_code,origin_name,origin_city,origin_country,destination_code,destination_name,destination_city,destination_country,departure_datetime,arrival_datetime,duration,aircraft_type,aircraft_name,status,total_seats,available_seats,economy_fare,premium_economy_fare,business_fare,first_fare
F00001,AI578,AI,Air India,LAX,Los Angeles International Airport,Los Angeles,USA,SYD,Sydney Airport,Sydney,Australia,2025-07-07 21:30,2025-07-08 09:13,11h 46m,A350,Airbus A350,Cancelled,325,241,708,1062,1770,2832
F00002,DL368,DL,Delta Air Lines,DEL,Indira Gandhi International Airport,Delhi,India,DXB,Dubai International Airport,Dubai,UAE,2025-06-28 01:15,2025-06-28 12:06,10h 54m,B747,Boeing 747,Scheduled,410,227,620,930,1550,2480
F00003,AI278,AI,Air India,CDG,Charles de Gaulle Airport,Paris,France,LAX,Los Angeles International Airport,Los Angeles,USA,2025-07-05 19:45,2025-07-06 03:31,7h 29m,A380,Airbus A380,Scheduled,525,455,418,627,1045,1672
F00004,AF386,AF,Air France,JFK,John F. Kennedy International Airport,New York,USA,LHR,Heathrow Airport,London,UK,2025-06-18 14:45,2025-06-18 18:23,3h 59m,A380,Airbus A380,Scheduled,525,407,270,405,675,1080
F00005,DL753,DL,Delta Air Lines,JFK,John F. Kennedy International Airport,New York,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-06-16 12:15,2025-06-16 23:17,11h 15m,A320,Airbus A320,Scheduled,180,4,613,919,1532,2452
F00006,AF552,AF,Air France,HND,Haneda Airport,Tokyo,Japan,DXB,Dubai International Airport,Dubai,UAE,2025-06-17 09:15,2025-06-17 19:42,10h 20m,B787,Boeing 787,Boarding,250,119,597,895,1492,2388
F00007,SQ406,SQ,Singapore Airlines,CDG,Charles de Gaulle Airport,Paris,France,SIN,Changi Airport,Singapore,Singapore,2025-06-14 18:30,2025-06-15 04:03,9h 11m,A320,Airbus A320,Landed,180,137,626,939,1565,2504
F00008,DL957,DL,Delta Air Lines,DEL,Indira Gandhi International Airport,Delhi,India,JFK,John F. Kennedy International Airport,New York,USA,2025-06-23 10:30,2025-06-23 15:39,5h 39m,A380,Airbus A380,Scheduled,525,84,393,589,982,1572
F00009,JL435,JL,Japan Airlines,LAX,Los Angeles International Airport,Los Angeles,USA,DXB,Dubai International Airport,Dubai,UAE,2025-06-15 21:30,2025-06-16 08:50,11h 59m,A350,Airbus A350,Scheduled,325,252,678,1017,1695,2712
F00010,SQ504,SQ,Singapore Airlines,DXB,Dubai International Airport,Dubai,UAE,ORD,O'Hare International Airport,Chicago,USA,2025-06-19 06:45,2025-06-19 20:34,13h 45m,A350,Airbus A350,Cancelled,325,69,716,1074,1790,2864
F00011,AA695,AA,American Airlines,SIN,Changi Airport,Singapore,Singapore,DEL,Indira Gandhi International Airport,Delhi,India,2025-07-08 19:00,2025-07-09 06:13,11h 28m,A380,Airbus A380,Scheduled,525,184,660,990,1650,2640
F00012,SQ465,SQ,Singapore Airlines,SYD,Sydney Airport,Sydney,Australia,JFK,John F. Kennedy International Airport,New York,USA,2025-06-26 02:00,2025-06-26 10:16,8h 59m,B737,Boeing 737,Cancelled,180,151,452,678,1130,1808
F00013,UA789,UA,United Airlines,DXB,Dubai International Airport,Dubai,UAE,DEL,Indira Gandhi International Airport,Delhi,India,2025-07-13 22:45,2025-07-14 09:42,10h 57m,B777,Boeing 777,Boarding,300,60,661,991,1652,2644
F00014,JL775,JL,Japan Airlines,JFK,John F. Kennedy International Airport,New York,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-06-22 21:15,2025-06-23 10:54,13h 24m,A350,Airbus A350,Boarding,325,132,744,1116,1860,2976
F00015,BA206,BA,British Airways,SIN,Changi Airport,Singapore,Singapore,SYD,Sydney Airport,Sydney,Australia,2025-07-07 14:15,2025-07-08 04:42,14h 59m,B747,Boeing 747,Cancelled,410,333,888,1332,2220,3552
F00016,UA604,UA,United Airlines,JFK,John F. Kennedy International Airport,New York,USA,DEL,Indira Gandhi International Airport,Delhi,India,2025-06-16 12:45,2025-06-17 01:48,13h 13m,B747,Boeing 747,Cancelled,410,122,733,1099,1832,2932
F00017,QF868,QF,Qantas,LAX,Los Angeles International Airport,Los Angeles,USA,HND,Haneda Airport,Tokyo,Japan,2025-06-20 18:15,2025-06-21 02:35,8h 16m,B777,Boeing 777,In Air,300,97,509,763,1272,2036
F00018,SQ643,SQ,Singapore Airlines,JFK,John F. Kennedy International Airport,New York,USA,SIN,Changi Airport,Singapore,Singapore,2025-07-04 16:45,2025-07-05 04:50,12h 21m,B747,Boeing 747,Scheduled,410,131,686,1029,1715,2744
F00019,BA533,BA,British Airways,LHR,Heathrow Airport,London,UK,ORD,O'Hare International Airport,Chicago,USA,2025-06-24 19:15,2025-06-25 09:38,14h 18m,A330,Airbus A330,Scheduled,290,241,849,1273,2122,3396
F00020,DL866,DL,Delta Air Lines,SIN,Changi Airport,Singapore,Singapore,HND,Haneda Airport,Tokyo,Japan,2025-06-27 08:15,2025-06-27 22:12,13h 53m,B777,Boeing 777,In Air,300,104,821,1231,2052,3284
F00021,AI828,AI,Air India,LHR,Heathrow Airport,London,UK,JFK,John F. Kennedy International Airport,New York,USA,2025-07-01 06:30,2025-07-01 18:39,12h 8m,B777,Boeing 777,Scheduled,300,291,711,1066,1777,2844
F00022,AF557,AF,Air France,HND,Haneda Airport,Tokyo,Japan,SYD,Sydney Airport,Sydney,Australia,2025-07-01 20:45,2025-07-02 07:42,10h 7m,B777,Boeing 777,Scheduled,300,86,680,1020,1700,2720
F00023,AA934,AA,American Airlines,DEL,Indira Gandhi International Airport,Delhi,India,DXB,Dubai International Airport,Dubai,UAE,2025-06-20 04:00,2025-06-20 10:53,6h 27m,A320,Airbus A320,Landed,180,73,431,646,1077,1724
F00024,UA593,UA,United Airlines,JFK,John F. Kennedy International Airport,New York,USA,LAX,Los Angeles International Airport,Los Angeles,USA,2025-06-17 21:15,2025-06-17 23:06,1h 27m,B787,Boeing 787,Scheduled,250,151,235,352,587,940
F00025,SQ171,SQ,Singapore Airlines,DEL,Indira Gandhi International Airport,Delhi,India,DXB,Dubai International Airport,Dubai,UAE,2025-07-04 16:15,2025-07-04 22:28,6h 57m,A330,Airbus A330,Scheduled,290,225,494,741,1235,1976
F00026,EK260,EK,Emirates,ORD,O'Hare International Airport,Chicago,USA,HND,Haneda Airport,Tokyo,Japan,2025-06-17 15:00,2025-06-17 21:59,6h 50m,B747,Boeing 747,In Air,410,265,369,553,922,1476
F00027,AI819,AI,Air India,CDG,Charles de Gaulle Airport,Paris,France,LAX,Los Angeles International Airport,Los Angeles,USA,2025-07-13 07:00,2025-07-13 13:54,6h 57m,A350,Airbus A350,Boarding,325,255,426,639,1065,1704
F00028,UA708,UA,United Airlines,DXB,Dubai International Airport,Dubai,UAE,LAX,Los Angeles International Airport,Los Angeles,USA,2025-06-23 04:00,2025-06-23 10:06,6h 22m,A380,Airbus A380,Scheduled,525,221,422,633,1055,1688
F00029,SQ870,SQ,Singapore Airlines,SYD,Sydney Airport,Sydney,Australia,HND,Haneda Airport,Tokyo,Japan,2025-07-06 08:00,2025-07-06 18:36,10h 4m,B777,Boeing 777,Boarding,300,275,612,918,1530,2448
F00030,AF511,AF,Air France,LHR,Heathrow Airport,London,UK,ORD,O'Hare International Airport,Chicago,USA,2025-07-02 12:30,2025-07-02 22:06,9h 26m,B787,Boeing 787,In Air,250,160,574,861,1435,2296
F00031,DL290,DL,Delta Air Lines,DXB,Dubai International Airport,Dubai,UAE,SYD,Sydney Airport,Sydney,Australia,2025-06-26 15:30,2025-06-27 04:05,12h 49m,A320,Airbus A320,Landed,180,103,730,1095,1825,2920
F00032,JL212,JL,Japan Airlines,CDG,Charles de Gaulle Airport,Paris,France,SIN,Changi Airport,Singapore,Singapore,2025-07-13 23:00,2025-07-14 11:19,12h 8m,A320,Airbus A320,Scheduled,180,23,776,1164,1940,3104
F00033,BA848,BA,British Airways,DEL,Indira Gandhi International Airport,Delhi,India,SIN,Changi Airport,Singapore,Singapore,2025-07-13 10:30,2025-07-14 00:38,14h 15m,A380,Airbus A380,Delayed,525,367,800,1200,2000,3200
F00034,UA175,UA,United Airlines,LAX,Los Angeles International Airport,Los Angeles,USA,ORD,O'Hare International Airport,Chicago,USA,2025-07-09 20:30,2025-07-09 23:04,2h 10m,A320,Airbus A320,Delayed,180,34,233,349,582,932
F00035,SQ969,SQ,Singapore Airlines,SIN,Changi Airport,Singapore,Singapore,SYD,Sydney Airport,Sydney,Australia,2025-07-03 15:30,2025-07-04 01:39,10h 1m,A320,Airbus A320,Scheduled,180,56,568,852,1420,2272
F00036,UA443,UA,United Airlines,JFK,John F. Kennedy International Airport,New York,USA,CDG,Charles de Gaulle Airport,Paris,France,2025-06-30 11:30,2025-07-01 02:23,14h 26m,A330,Airbus A330,Scheduled,290,67,869,1303,2172,3476
F00037,AA963,AA,American Airlines,LAX,Los Angeles International Airport,Los Angeles,USA,DEL,Indira Gandhi International Airport,Delhi,India,2025-07-03 12:15,2025-07-04 00:21,12h 13m,B737,Boeing 737,Scheduled,180,143,775,1162,1937,3100
F00038,BA183,BA,British Airways,LAX,Los Angeles International Airport,Los Angeles,USA,ORD,O'Hare International Airport,Chicago,USA,2025-07-08 04:15,2025-07-08 06:21,2h 24m,B787,Boeing 787,Boarding,250,173,281,421,702,1124
F00039,EK124,EK,Emirates,JFK,John F. Kennedy International Airport,New York,USA,LAX,Los Angeles International Airport,Los Angeles,USA,2025-07-04 01:15,2025-07-04 03:11,1h 38m,A320,Airbus A320,Cancelled,180,22,197,295,492,788
F00040,UA308,UA,United Airlines,JFK,John F. Kennedy International Airport,New York,USA,SIN,Changi Airport,Singapore,Singapore,2025-07-09 11:45,2025-07-09 21:39,9h 36m,B737,Boeing 737,Scheduled,180,38,542,813,1355,2168
F00041,BA922,BA,British Airways,SYD,Sydney Airport,Sydney,Australia,JFK,John F. Kennedy International Airport,New York,USA,2025-06-23 16:30,2025-06-24 01:20,8h 33m,B787,Boeing 787,Cancelled,250,184,454,681,1135,1816
F00042,SQ647,SQ,Singapore Airlines,SIN,Changi Airport,Singapore,Singapore,DEL,Indira Gandhi International Airport,Delhi,India,2025-06-17 16:00,2025-06-18 02:33,10h 4m,A350,Airbus A350,In Air,325,215,694,1041,1735,2776
F00043,QF727,QF,Qantas,HND,Haneda Airport,Tokyo,Japan,DXB,Dubai International Airport,Dubai,UAE,2025-06-25 02:15,2025-06-25 13:20,11h 10m,B737,Boeing 737,Scheduled,180,51,682,1023,1705,2728
F00044,QF200,QF,Qantas,SIN,Changi Airport,Singapore,Singapore,ORD,O'Hare International Airport,Chicago,USA,2025-07-01 20:00,2025-07-02 06:31,10h 3m,B737,Boeing 737,Scheduled,180,32,578,867,1445,2312
F00045,EK197,EK,Emirates,DEL,Indira Gandhi International Airport,Delhi,India,JFK,John F. Kennedy International Airport,New York,USA,2025-07-12 07:00,2025-07-12 17:32,10h 45m,A330,Airbus A330,In Air,290,104,591,886,1477,2364
F00046,SQ945,SQ,Singapore Airlines,DEL,Indira Gandhi International Airport,Delhi,India,JFK,John F. Kennedy International Airport,New York,USA,2025-07-02 23:45,2025-07-03 03:35,3h 2m,A330,Airbus A330,Cancelled,290,60,282,423,705,1128
F00047,DL677,DL,Delta Air Lines,LHR,Heathrow Airport,London,UK,JFK,John F. Kennedy International Airport,New York,USA,2025-06-24 13:45,2025-06-25 00:41,10h 23m,A330,Airbus A330,Cancelled,290,263,698,1047,1745,2792
F00048,JL995,JL,Japan Airlines,DEL,Indira Gandhi International Airport,Delhi,India,SYD,Sydney Airport,Sydney,Australia,2025-06-23 17:15,2025-06-24 07:52,14h 56m,B777,Boeing 777,In Air,300,166,756,1134,1890,3024
F00049,BA404,BA,British Airways,SIN,Changi Airport,Singapore,Singapore,JFK,John F. Kennedy International Airport,New York,USA,2025-07-13 17:30,2025-07-14 05:37,12h 1m,A320,Airbus A320,Landed,180,23,756,1134,1890,3024
F00050,BA307,BA,British Airways,DXB,Dubai International Airport,Dubai,UAE,CDG,Charles de Gaulle Airport,Paris,France,2025-06-15 06:15,2025-06-15 17:39,11h 53m,B737,Boeing 737,In Air,180,41,716,1074,1790,2864
F00051,AI705,AI,Air India,LAX,Los Angeles International Airport,Los Angeles,USA,LHR,Heathrow Airport,London,UK,2025-06-24 05:45,2025-06-24 17:38,11h 55m,A350,Airbus A350,Boarding,325,321,654,981,1635,2616
F00052,SQ569,SQ,Singapore Airlines,CDG,Charles de Gaulle Airport,Paris,France,JFK,John F. Kennedy International Airport,New York,USA,2025-06-22 05:30,2025-06-22 19:19,13h 3m,B777,Boeing 777,In Air,300,61,777,1165,1942,3108
F00053,AF560,AF,Air France,SYD,Sydney Airport,Sydney,Australia,CDG,Charles de Gaulle Airport,Paris,France,2025-07-05 16:30,2025-07-06 06:51,14h 32m,B787,Boeing 787,Delayed,250,41,814,1221,2035,3256
F00054,SQ847,SQ,Singapore Airlines,ORD,O'Hare International Airport,Chicago,USA,DEL,Indira Gandhi International Airport,Delhi,India,2025-06-18 23:00,2025-06-19 13:22,14h 54m,A320,Airbus A320,In Air,180,98,759,1138,1897,3036
F00055,SQ141,SQ,Singapore Airlines,SYD,Sydney Airport,Sydney,Australia,ORD,O'Hare International Airport,Chicago,USA,2025-06-24 11:00,2025-06-24 14:31,3h 23m,B737,Boeing 737,Boarding,180,40,239,358,597,956
